time,gps_lat,gps_lng,naive_lat,naive_lng,ai_lat,ai_lng,gps_status,drift_naive_m,drift_ai_m,velocity_mps,heading_deg,source
0,52.5184417671875,-1.5083977265625,52.51837178721894,-1.508422880679425,52.51844091914717,-1.5083977265625,LOCK,7.965378727823763,0.09429778223207484,6.414631940611525,193.02280050659178,GPS+ML
1,52.518274351562496,-1.50842348125,52.51830584373456,-1.5084470678994366,52.518336463470035,-1.5084205605749241,LOCK,3.8483020111231228,6.909355770879339,5.906011638976931,194.83011155198864,GPS+ML
2,52.5179491953125,-1.508728396875,52.51823578748869,-1.5084809732536721,52.51818900923742,-1.508528188736571,LOCK,35.99752270929486,29.909781406680054,6.621856534733492,208.80538224234527,GPS+ML
3,52.5177007796875,-1.50891800625,52.51816463199203,-1.5085146533761025,52.51803166917682,-1.508655107409113,LOCK,58.35376433658915,40.86783366851177,8.914829380520834,195.03277391820643,GPS+ML
4,52.516896153125,-1.5096065984375,52.51809565250395,-1.5085280216324348,52.51774716812179,-1.5088803284128416,LOCK,152.0394507011585,106.62817621752046,7.939397971457898,205.88101512047518,GPS+ML
5,52.51690249375,-1.5098665593749998,52.518026611799876,-1.5085423141355387,52.51754919260283,-1.5091259079814228,LOCK,153.7951662565877,87.65044668846126,8.981922260610148,216.01330747706533,GPS+ML
6,52.516917128125,-1.509956490625,52.51795997750804,-1.508554538518247,52.51739482092312,-1.5093627439875839,LOCK,149.81804664816417,66.59959726596544,8.932772220111968,215.55906210368684,GPS+ML
7,52.516935090625,-1.5100398531249999,52.51789569535514,-1.5085648998027315,52.51727122568408,-1.5095683564699363,LOCK,146.18380736154944,49.14115299163056,8.886473636052308,216.25808470543126,GPS+ML
8,52.5169565609375,-1.51011485625,52.51783502334417,-1.508574538652014,52.51717039546402,-1.5097529401245322,LOCK,142.84352250707104,34.13316329712194,8.69430467367848,216.48182863030252,GPS+ML
9,52.517008028125005,-1.5102306484375,52.517782242851865,-1.5085874919749451,52.517091384537984,-1.5099238599836153,LOCK,140.61640960272047,22.73410214035489,7.525016022677693,215.23381065000294,GPS+ML
10,52.5170289234375,-1.5102687140625,52.51773306846811,-1.5086036979321418,52.517030005604894,-1.5100569991831267,LOCK,137.19796070569504,14.326184128865863,7.079513328527743,212.27060348001103,GPS+ML
11,52.51704879375,-1.5103000546875,52.5176869107713,-1.5086135196769777,52.51697824626903,-1.51016549559053,LOCK,134.3788847381787,12.018171332629736,6.815764874051575,212.40704286825357,GPS+ML
12,52.517129521875,-1.5103726124999999,52.517635762758694,-1.5086296539018789,52.516943011579315,-1.5102673721606632,LOCK,130.68163117942936,21.927514147895828,7.257520927000086,212.6140570547741,GPS+ML
